Количество элементов на промежутке от 1 до 4: 4

Исходный массив:
a[1] = -258.8
a[2] = 391.9
a[3] = 265.8
a[4] = -467.3
a[5] = 157.9
a[6] = 132.3
a[7] = -23.1
a[8] = -492.9
a[9] = -889.2
a[10] = -423.2
a[11] = -872.8
a[12] = -345.8
a[13] = -189.5
a[14] = -431.3
a[15] = -384.4
a[16] = -561.4
a[17] = -237.5
a[18] = -852.1
a[19] = -880.8
a[20] = 607.2
a[21] = -759
a[22] = 370.3
a[23] = -294.1
a[24] = 996.3
a[25] = -252.8
a[26] = -996.4
a[27] = -760.4
a[28] = 510.9
a[29] = -820
a[30] = -24.6
a[31] = -658.5
a[32] = -92.5
a[33] = 644
a[34] = -895.9
a[35] = 668
a[36] = -332.9
a[37] = 218.7
a[38] = -606.2
a[39] = -689.5
a[40] = -752.4
a[41] = 184.6
a[42] = 231.9
a[43] = -537.6
a[44] = -549.2
a[45] = -966.4
a[46] = -742
a[47] = -950.2
a[48] = -359.4
a[49] = 800.2
a[50] = -327.1
a[51] = -186.1
a[52] = -731.6
a[53] = 105.2
a[54] = -99.8
a[55] = 753.3
a[56] = 210.5
a[57] = -551.2
a[58] = -820.1
a[59] = -480.5
a[60] = -669.4
a[61] = -855.9
a[62] = 392.2
a[63] = 975
a[64] = -228.7
a[65] = 428
a[66] = -187.5
a[67] = 98.8
a[68] = -292.5
a[69] = -923.4
a[70] = -174.8
a[71] = -995.7
a[72] = 256.9
a[73] = 744.7
a[74] = -557.3
a[75] = 149.5
a[76] = -973.8
a[77] = -987.4
a[78] = -661
a[79] = -712.5
a[80] = -929.1
a[81] = 469.9
a[82] = 74.6
a[83] = -439.7
a[84] = -37.5
a[85] = -396.3
a[86] = 944.2
a[87] = -824.7
a[88] = 59
a[89] = 35.4
a[90] = -44.2
a[91] = 68.4
a[92] = 587.6
a[93] = -445.7
a[94] = 370.2
a[95] = 333.9
a[96] = -386.1
a[97] = -253.2
a[98] = -624.4
a[99] = 972
a[100] = -428.5
a[101] = -32.1
a[102] = -739.7
a[103] = 34.8
a[104] = 254.3
a[105] = -270.7
a[106] = 490
a[107] = -173.8
a[108] = -543.4
a[109] = 231.6
a[110] = 285.7
a[111] = -61.1
a[112] = 655.2
a[113] = 90.8
a[114] = 491.5
a[115] = -684.4
a[116] = -426.7
a[117] = -265.7
a[118] = 158.9
a[119] = 204.9
a[120] = 46.2
a[121] = 195.8
a[122] = 253.1
a[123] = 46
a[124] = -37.8
a[125] = -536.1
a[126] = -985.5
a[127] = -907.5
a[128] = -598.6
a[129] = 31.7
a[130] = -64.9
a[131] = 405
a[132] = -167.5
a[133] = -178.5
a[134] = -651.5
a[135] = -662.7
a[136] = -577.2
a[137] = 685
a[138] = 107.3
a[139] = 3.9
a[140] = -802.7
a[141] = 313.8
a[142] = -336.4
a[143] = 742.6
a[144] = -217.2
a[145] = -240.3
a[146] = 345
a[147] = 357.7
a[148] = -189.5
a[149] = -366
a[150] = -707.6
a[151] = -966.9
a[152] = -966.1
a[153] = -773
a[154] = -829.4
a[155] = -684.8
a[156] = -762.4
a[157] = -380.4
a[158] = 905
a[159] = 714.1
a[160] = -52.9
a[161] = -124.7
a[162] = 192.5
a[163] = -887.7
a[164] = 613.2
a[165] = -911
a[166] = -233.2
a[167] = -364.2
a[168] = -866.9
a[169] = -64.4
a[170] = 311.7
a[171] = 344.2
a[172] = -640.8
a[173] = 405.5
a[174] = -39.7
a[175] = -944.1
a[176] = -415.7
a[177] = 181.7
a[178] = -383.3
a[179] = 837.6
a[180] = 486
a[181] = 685.8
a[182] = -432
a[183] = -636.4
a[184] = -545.1
a[185] = 310.4
a[186] = 197.1
a[187] = 613
a[188] = -253.8
a[189] = -986.2
a[190] = -287.2
a[191] = -656.5
a[192] = -25.1
a[193] = 94.6
a[194] = 132.6
a[195] = -764.7
a[196] = 138.1
a[197] = 85.1
a[198] = 731
a[199] = -557
a[200] = 326.6
a[201] = -140.1
a[202] = 233.3
a[203] = -64.5
a[204] = 602.5
a[205] = 792.3
a[206] = 584.5
a[207] = 195
a[208] = -346
a[209] = -607.7
a[210] = -981.8
a[211] = -943.1
a[212] = -485.9
a[213] = -34.3
a[214] = 576.9
a[215] = -35.3
a[216] = -347.6
a[217] = 851.5
a[218] = 274.1
a[219] = -450.4
a[220] = 752.5
a[221] = 502.2
a[222] = -692.3
a[223] = -532.2
a[224] = -603.6
a[225] = 114.5
a[226] = -976.6
a[227] = -40.8
a[228] = 11.5
a[229] = 93.8
a[230] = -792.1
a[231] = -46.6
a[232] = 578.6
a[233] = -2.6
a[234] = -267.8
a[235] = 910.4
a[236] = -310.5
a[237] = -547.4
a[238] = -856.9
a[239] = 711.3
a[240] = -672.9
a[241] = -517.9
a[242] = -349.3
a[243] = 191.1
a[244] = -364.8
a[245] = 242.6
a[246] = 108.4
a[247] = -436.2
a[248] = 263.9
a[249] = 864.1
a[250] = -543.2
a[251] = -114.1
a[252] = -206.7
a[253] = -814
a[254] = 480.9
a[255] = -467.2
a[256] = 970.4
a[257] = -32.6
a[258] = 693
a[259] = 449.4
a[260] = -60.5
a[261] = 91.9
a[262] = -913.8
a[263] = 150.3
a[264] = 481.8
a[265] = 835.7
a[266] = -771.6
a[267] = 104.4
a[268] = -514.9
a[269] = 611.2
a[270] = -388.4
a[271] = 221.2
a[272] = -873.8
a[273] = -127.3
a[274] = 68.6
a[275] = -434.6
a[276] = -478.3
a[277] = -22.2
a[278] = -402.8
a[279] = 123.4
a[280] = -162.6
a[281] = -307.1
a[282] = -193.2
a[283] = 256.2
a[284] = -938.5
a[285] = -863.6
a[286] = 945
a[287] = -227.4
a[288] = 813.1
a[289] = 464.1
a[290] = 252.3
a[291] = 191.4
a[292] = -822.5
a[293] = -697.7
a[294] = -653.7
a[295] = 82.2
a[296] = -907
a[297] = 23.3
a[298] = -298.2
a[299] = -772.8
a[300] = 233.2
a[301] = -367.9
a[302] = 886.8
a[303] = -423.2
a[304] = 591.2
a[305] = -513.2
a[306] = -613.5
a[307] = -620.7
a[308] = 841.9
a[309] = 49.3
a[310] = -600.8
a[311] = -52
a[312] = -61.4
a[313] = -539.6
a[314] = 668.8
a[315] = -384.9
a[316] = 852.2
a[317] = 287.3
a[318] = 57.6
a[319] = -896.4
a[320] = -665.3
a[321] = -254.2
a[322] = -457.5
a[323] = 98
a[324] = -363.2
a[325] = 811
a[326] = -833.5
a[327] = -797
a[328] = 486.8
a[329] = -736.5
a[330] = -414.4
a[331] = -414.6
a[332] = -273.2
a[333] = -427.7
a[334] = 63.7
a[335] = -411.2
a[336] = -274
a[337] = -315.3
a[338] = -721.3
a[339] = -17.9
a[340] = -803.7
a[341] = 304.2
a[342] = 792
a[343] = 747.5
a[344] = 597.1
a[345] = -549.6
a[346] = 671
a[347] = 174.4
a[348] = -990.6
a[349] = 95.3
a[350] = 821.4
a[351] = -662.6
a[352] = 133.2
a[353] = 8.9
a[354] = 71.3
a[355] = -597.9
a[356] = -669.2
a[357] = -50.2
a[358] = -799.9
a[359] = -691.5
a[360] = 647.7
a[361] = -962.8
a[362] = 979.3
a[363] = 635.7
a[364] = -308.7
a[365] = -988.5
a[366] = -671.1
a[367] = -590.3
a[368] = 275.4
a[369] = -671.8
a[370] = 702.7
a[371] = 43.7
a[372] = -265.2
a[373] = -440.8
a[374] = -578.8
a[375] = 573.8
a[376] = 306.4
a[377] = -105.6
a[378] = -998.8
a[379] = -810.7
a[380] = 33.3
a[381] = 433.2
a[382] = -286.3
a[383] = -862.4
a[384] = -176.6
a[385] = 780.5
a[386] = 246
a[387] = 40.6
a[388] = -901.3
a[389] = -256.5
a[390] = -84.6
a[391] = 153.4
a[392] = 578.4
a[393] = 433.2
a[394] = 159.1
a[395] = -14.7
a[396] = -599
a[397] = -884.5
a[398] = 897.4
a[399] = 150.8
a[400] = -828.5
a[401] = -666.6
a[402] = 622.7
a[403] = -339.1
a[404] = 262.8
a[405] = -953
a[406] = -315.7
a[407] = -562.8
a[408] = -699
a[409] = -538.3
a[410] = 130.8
a[411] = 65.6
a[412] = -27.4
a[413] = 866.7
a[414] = 303.5
a[415] = 63
a[416] = -515.4
a[417] = 195.5
a[418] = -412.6
a[419] = 270.2
a[420] = -841.2
a[421] = 909.8
a[422] = -21.2
a[423] = -719.5
a[424] = -254.9
a[425] = -128.7
a[426] = 514.7
a[427] = 114.9
a[428] = 956.3
a[429] = -150.2
a[430] = -477.8
a[431] = -564.9
a[432] = -359.5
a[433] = -775.7
a[434] = -160.7
a[435] = 357.5
a[436] = 134.8
a[437] = 970.3
a[438] = -206.5
a[439] = -863
a[440] = -444
a[441] = -953.9
a[442] = 537.4
a[443] = -917.6
a[444] = 808.7
a[445] = 654
a[446] = -365.4
a[447] = -922.2
a[448] = -616.6
a[449] = -109.7
a[450] = 899.7
a[451] = -948.5
a[452] = -721.3
a[453] = 582.2
a[454] = -468.4
a[455] = 745.2
a[456] = -645
a[457] = -727.4
a[458] = -558.2
a[459] = 379
a[460] = -887.3
a[461] = -957.5
a[462] = -15.4
a[463] = 121.4
a[464] = -457.3
a[465] = 579.3
a[466] = -116.8
a[467] = -22.6
a[468] = 84.3
a[469] = 670.4
a[470] = -564
a[471] = -15.7
a[472] = -489.4
a[473] = -574.1
a[474] = -188.1
a[475] = -54
a[476] = 795.5
a[477] = 23.2
a[478] = 396
a[479] = -511.7
a[480] = 803.7
a[481] = 108.8
a[482] = 269.7
a[483] = -334.4
a[484] = -118.8
a[485] = 140.6
a[486] = 530.3
a[487] = 561.1
a[488] = -920.6
a[489] = 996
a[490] = -380
a[491] = -994.4
a[492] = -547.8
a[493] = 44.6
a[494] = -395.8
a[495] = 133.4
a[496] = -967.7
a[497] = 307.8
a[498] = -601.9
a[499] = -761.5
a[500] = 947.3
a[501] = -264.5
a[502] = -56.3
a[503] = 972.2
a[504] = 791.4
a[505] = 157.2
a[506] = 998.7
a[507] = 683
a[508] = -434.5
a[509] = 341.8
a[510] = 921.1
a[511] = 6
a[512] = -506.6
a[513] = -297.3
a[514] = -931.9
a[515] = -456.4
a[516] = 215.4
a[517] = 104.4
a[518] = -317.7
a[519] = -192.8
a[520] = 330.3
a[521] = 348.1
a[522] = -988.5
a[523] = -350.2
a[524] = -341.3
a[525] = 793.1
a[526] = -994.5
a[527] = -646.4
a[528] = 727.9
a[529] = -626.1
a[530] = -965.6
a[531] = 285.7
a[532] = 385.5
a[533] = -553.7
a[534] = 846.9
a[535] = -564.5
a[536] = -681.1
a[537] = -596.1
a[538] = 255
a[539] = 23.5
a[540] = 131
a[541] = 499.7
a[542] = 465.3
a[543] = 961
a[544] = 218
a[545] = -251.5
a[546] = -774.8
a[547] = 267
a[548] = -367.7
a[549] = -37.5
a[550] = 787.3
a[551] = -478.5
a[552] = -293.2
a[553] = -203.3
a[554] = 692.3
a[555] = -436.3
a[556] = -481.5
a[557] = 24.8
a[558] = -648.8
a[559] = -546.8
a[560] = -288.3
a[561] = -650.4
a[562] = -550.8
a[563] = 136.9
a[564] = -560.3
a[565] = 776.4
a[566] = 44.1
a[567] = -778.4
a[568] = 201.3
a[569] = -615.6
a[570] = -808.4
a[571] = -258.5
a[572] = -947.4
a[573] = 526.8
a[574] = -794.7
a[575] = -634.7
a[576] = -899.7
a[577] = -239.9
a[578] = -45.6
a[579] = -985.7
a[580] = -414.4
a[581] = -550.3
a[582] = -880.6
a[583] = 530.2
a[584] = 102.5
a[585] = -689.2
a[586] = -85.6
a[587] = -403.8
a[588] = 920.6
a[589] = 892.3
a[590] = -168
a[591] = -661.5
a[592] = 83.6
a[593] = -692.2
a[594] = -140.9
a[595] = 684.5
a[596] = -747
a[597] = -884.6
a[598] = -921.4
a[599] = 859.4
a[600] = -989.4
a[601] = -351.7
a[602] = -914.3
a[603] = -408.9
a[604] = -452.9
a[605] = -577.9
a[606] = -483.9
a[607] = 19.8
a[608] = -336.1
a[609] = 199.5
a[610] = -800.7
a[611] = 391.3
a[612] = 184.7
a[613] = 163.9
a[614] = 321.2
a[615] = 171.6
a[616] = -955.3
a[617] = -532.7
a[618] = -956.7
a[619] = 576.7
a[620] = -144.1
a[621] = 964.6
a[622] = 177.3
a[623] = -295.3
a[624] = 577.6
a[625] = 206.1
a[626] = -682.5
a[627] = 694
a[628] = -929
a[629] = 822.7
a[630] = -477.9
a[631] = -56.9
a[632] = 336.5
a[633] = -753.9
a[634] = 114.6
a[635] = -353.2
a[636] = -343.1
a[637] = 601.2
a[638] = -412.2
