Исходный массив:
a[1] = 28.7
a[2] = 87.5
a[3] = 89.1
a[4] = -54.3
a[5] = 69.9
a[6] = -80.3
a[7] = 28.7
a[8] = 36.3
a[9] = -59.9
a[10] = -30.1
a[11] = -69.9
a[12] = -82.7
a[13] = 63.4
a[14] = 7.9
a[15] = -48.9
a[16] = 4.5
a[17] = 16.1
a[18] = 19
a[19] = -25
a[20] = -35.7
a[21] = -18.6
a[22] = -31.9
a[23] = 29.9
a[24] = -65.7
a[25] = 98.8
a[26] = 19
a[27] = -86.9
a[28] = 65.5
a[29] = -30.8
a[30] = 43.2
a[31] = 1.7
a[32] = 42.7
a[33] = -44.3
a[34] = -37.4
a[35] = -94.5
a[36] = 69
a[37] = -62.6
a[38] = 37.8
a[39] = 15.6
a[40] = -55.1
a[41] = 32
a[42] = -30.9
a[43] = -43.6
a[44] = -69.8
a[45] = 70
a[46] = 97.5
a[47] = 44.9
a[48] = 16.4
a[49] = -38
a[50] = -50.9
a[51] = 65.3
a[52] = 74.4
a[53] = -10.1
a[54] = 59.3
a[55] = -40.9
a[56] = -71
a[57] = 40.3
a[58] = 93
a[59] = 68.5
a[60] = -21.4
a[61] = -15.2
a[62] = -99.4
a[63] = 5.5
a[64] = -43.7
a[65] = -48.3
a[66] = 52.4
a[67] = -39.2
a[68] = 27.9
a[69] = -57.4
a[70] = -41.8
a[71] = 24.1
a[72] = -23
a[73] = -87.8
a[74] = -1.7
a[75] = 79
a[76] = 65.9
a[77] = -79.8
a[78] = 20
a[79] = -52.5
a[80] = -98.8
a[81] = 16.5
a[82] = -27.5
a[83] = -6.6
a[84] = 69.4
a[85] = 97.9
a[86] = 39.1
a[87] = -89
a[88] = -33.3
a[89] = -52.7
a[90] = -38
a[91] = 60
a[92] = -81.6
a[93] = 42.2
a[94] = -6.2
a[95] = -4.8
a[96] = -16.6
a[97] = 43.7
a[98] = -28.7
a[99] = 55.4
a[100] = -35.5
a[101] = 53.6
a[102] = -79.8
a[103] = 30
a[104] = 74
a[105] = -98.1
a[106] = 14.3
a[107] = -27
a[108] = -80.9
a[109] = -1.7
a[110] = 66.6
a[111] = 81
a[112] = 37.1
a[113] = -36.3
a[114] = -94.1
a[115] = 1.9
a[116] = -59.4
a[117] = -75.3
a[118] = -56.9
a[119] = -78.3
a[120] = -18.5
a[121] = 86.3
a[122] = 48.1
a[123] = 66.3
a[124] = 41.7
a[125] = -60.7
a[126] = 72.4
a[127] = -59.2
a[128] = -91.9
a[129] = 22.5
a[130] = -36.1
a[131] = 73.3
a[132] = 69.9
a[133] = -59.1
a[134] = -43.6
a[135] = 5.4
a[136] = 63.4
a[137] = 36.5
a[138] = 78.8
a[139] = 96.4
a[140] = -40.9
a[141] = -84
a[142] = 45.4
a[143] = 87.9
a[144] = -11.2
a[145] = -97.8
a[146] = -78
a[147] = -33.3
a[148] = 29
a[149] = -7.7
a[150] = -99.7
a[151] = -25.7
a[152] = 19.3
a[153] = 87.1
a[154] = 78.1
a[155] = -25
a[156] = -20.6
a[157] = -23.5
a[158] = -96.4
a[159] = 58.1
a[160] = -98.5
a[161] = 94.4
a[162] = -94.1
a[163] = 7.7
a[164] = -41
a[165] = -97.7
a[166] = -33.4
a[167] = -81.5
a[168] = 84.6
a[169] = -83.5
a[170] = 58.9
a[171] = 16.2
a[172] = -71.1
a[173] = 62.4
a[174] = 33.5
a[175] = -42.5
a[176] = -16.7
a[177] = 20.8
a[178] = 49.2
a[179] = 97.5
a[180] = 99.5
a[181] = 49.4
a[182] = -67.7
a[183] = -3.1
a[184] = 63.2
a[185] = -54.6
a[186] = -90.5
a[187] = -42.6
a[188] = 62.3
a[189] = -43.6
a[190] = -26.4
a[191] = 84.1
a[192] = -54.1
a[193] = -44.4
a[194] = -22
a[195] = -90.4
a[196] = 71.9
a[197] = 13.2
a[198] = 19.2
a[199] = 33.3
a[200] = 63.7
a[201] = -17.7
a[202] = -47.3
a[203] = 32.7
a[204] = 46.1
a[205] = 3.9
a[206] = -100
a[207] = 49.8
a[208] = 9.2
a[209] = -52.5
a[210] = 20.6
a[211] = 37.3
a[212] = 40.9
a[213] = -52.8
a[214] = 78.7
a[215] = 64.3
a[216] = -17.6
a[217] = 46.5
a[218] = -69.6
a[219] = -6.8
a[220] = 69.6
a[221] = -15.7
a[222] = 35.4
a[223] = 77.1
a[224] = -39.2
a[225] = 66.7
a[226] = 16.3
a[227] = -60.6
a[228] = -28.1
a[229] = -24.2
a[230] = -49.6
a[231] = 85.3
a[232] = -36.3
a[233] = -35.9
a[234] = -61.7
a[235] = -45
a[236] = 77.4
a[237] = -91
a[238] = 32.8
a[239] = -79
a[240] = 91.3
a[241] = 75.9
a[242] = 50.2
a[243] = -11.8
a[244] = 91.7
a[245] = -10.1
a[246] = 97.2
a[247] = -27.4
a[248] = 33.4
a[249] = -84.7
a[250] = -65.5
a[251] = 95.7
a[252] = 80.2
a[253] = 17.7
a[254] = 85.8
a[255] = 16.2
a[256] = -22.8
a[257] = -21.8
a[258] = 62.4
a[259] = -9.5
a[260] = 97.2
a[261] = 70.3
a[262] = -61
a[263] = 55.8
a[264] = -65.8
a[265] = -18.2
a[266] = -75.6
a[267] = 50.8
a[268] = 63.5
a[269] = 24.3
a[270] = 37.3
a[271] = 98.6
a[272] = -83.5
a[273] = -86.2
a[274] = 7.6
a[275] = 85.4
a[276] = -85.5
a[277] = -41.8
a[278] = 13.2
a[279] = -36.2
a[280] = -91
a[281] = -57.9
a[282] = -54.8
a[283] = 11.6
a[284] = 97.1
a[285] = -59.2
a[286] = -60.9
a[287] = -73.1
a[288] = -12.3
a[289] = 56.3
a[290] = 88.8
a[291] = -9.7
a[292] = -90.4
a[293] = 3.7
a[294] = 82.6
a[295] = -27.9
a[296] = 11.3
a[297] = 95.3
a[298] = 25.3
a[299] = 21.1
a[300] = -80.6
a[301] = 72.9
a[302] = -63.3
a[303] = 30.5
a[304] = -66.3
a[305] = 59.6
a[306] = 92.8
a[307] = 22.9
a[308] = -28.7
a[309] = -39.2
a[310] = 95.6
a[311] = -24.5
a[312] = 88.9
a[313] = 56.4
a[314] = 17.5
a[315] = -78.3
a[316] = -52.7
a[317] = -8.6
a[318] = -22.2
a[319] = 80.4
a[320] = -28
a[321] = -94.4
a[322] = -76.9
a[323] = -0.8
a[324] = 21.1
a[325] = 60.7
a[326] = -54.3
a[327] = 58.2
a[328] = 43.3
a[329] = 29.2
a[330] = -64.6
a[331] = -74.1
a[332] = -90.2
a[333] = 5.4
a[334] = -77.5
a[335] = -88.4
a[336] = -21.9
a[337] = -49.4
a[338] = 86
a[339] = 53.4
a[340] = -2.2
a[341] = -92.2
a[342] = -94.3
a[343] = 42.3
a[344] = 14.3
a[345] = -22.2
a[346] = 36
a[347] = 14.9
a[348] = 7.7
a[349] = -66.6
a[350] = 2.3
a[351] = 94.6
a[352] = -54
a[353] = -53.2
a[354] = -26.8
a[355] = -88.2
a[356] = -33.1
a[357] = -47
a[358] = -63.3
a[359] = -16.5
a[360] = 89.6
a[361] = -76.7
a[362] = 80.1
a[363] = 33.7
a[364] = -27
a[365] = -24.7
a[366] = -45.7
a[367] = 7.3
a[368] = -3.3
a[369] = -85.3
a[370] = -27.1
a[371] = -87
a[372] = 79.4
a[373] = -11.9
a[374] = 23.2
a[375] = -56
a[376] = -11.5
a[377] = -84.1
a[378] = 90.9
a[379] = -85.9
a[380] = -21.4
a[381] = 59.1
a[382] = 56.1
a[383] = -67.4
a[384] = 37.8
a[385] = -60.4
a[386] = -72.1
a[387] = -94
a[388] = 31.9
a[389] = 95.2
a[390] = -43.5
a[391] = 63.8
a[392] = 71.9
a[393] = 31.8
a[394] = 14.6
a[395] = 96.3
a[396] = -78.2
a[397] = 62.8
a[398] = 84.5
a[399] = 79.4
a[400] = 98.2
a[401] = -55.7
a[402] = 70.4
a[403] = -53.4
a[404] = -24.5
a[405] = -8.4
a[406] = -79.8
a[407] = 7.3
a[408] = -48.8
a[409] = -5.1
a[410] = 3.2
a[411] = -24.5
a[412] = -15.1
a[413] = 12
a[414] = 50.3
a[415] = -20.4
a[416] = 37
a[417] = -15.6
a[418] = 56.3
a[419] = 43.6
a[420] = -74.8
a[421] = 78.5
a[422] = -0.9
a[423] = 10.9
a[424] = 23.3
a[425] = 23.9
a[426] = -49.8
a[427] = -50.9
a[428] = -6.7
a[429] = 25.9
a[430] = -92
a[431] = -14.5
a[432] = -71.8
a[433] = 96.8
a[434] = 74.7
a[435] = 57.3
a[436] = -80.4
a[437] = -38.8
a[438] = -87.4
a[439] = -70.6
a[440] = -45.9
a[441] = -46
a[442] = 49.3
a[443] = -11.1
a[444] = 25.9
a[445] = 89.1
a[446] = 89.5
a[447] = -83.9
a[448] = 19.8
a[449] = 95.5
a[450] = 32.7
a[451] = -55.4
a[452] = 80
a[453] = -77.9
a[454] = 76.3
a[455] = -17.1
a[456] = -61.4
a[457] = -91.3
a[458] = -96.4
a[459] = 61.8
a[460] = 23.6
a[461] = -50.5
a[462] = -61.4
a[463] = -95.5
a[464] = -56.2
